,article_id,title
0,0.0,detect malfunctioning iot sensors with streaming analytics
1,2.0,"this week in data science (april 18, 2017)"
2,4.0,analyze ny restaurant data using spark in dsx
3,8.0,data science bowl 2017
4,9.0,"3992    using apache spark to predict attack vectors a...
Name: title, dtype: object"
5,12.0,timeseries data analysis of iot events by using jupyter notebook
6,14.0,got zip code data? prep it for analytics. – ibm watson data lab – medium
7,15.0,apache spark™ 2.0: extend structured streaming for spark ml
8,16.0,higher-order logistic regression for large datasets
9,18.0,the greatest public datasets for ai – startup grind
10,20.0,working interactively with rstudio and notebooks in dsx
11,25.0,creating the data science experience
12,26.0,using machine learning to predict parking difficulty
13,28.0,deep forest: towards an alternative to deep neural networks
14,29.0,experience iot with coursera
15,30.0,how open api economy accelerates the growth of big data and analytics
16,32.0,a kaggler's guide to model stacking in practice
17,33.0,using brunel in ipython/jupyter notebooks
18,34.0,top 10 machine learning use cases: part 1
19,36.0,data visualization playbook: the right level of detail
20,39.0,pulling and displaying etf data
21,40.0,ensemble learning to improve machine learning results
22,43.0,deep learning with tensorflow course by big data university
23,48.0,data science experience documentation
24,50.0,graph-based machine learning
25,51.0,modern machine learning algorithms
26,53.0,introducing streams designer
27,54.0,8 ways to turn data into value with apache spark machine learning
28,57.0,transfer learning for flight delay prediction via variational autoencoders
29,58.0,advancements in the spark community
30,59.0,"20405    how to tame the valley — hessian-free hacks fo...
Name: title, dtype: object"
31,60.0,readr 1.0.0
32,62.0,data visualization: the importance of excluding unnecessary details
33,64.0,predicting gentrification using longitudinal census data
34,65.0,interconnect with us
35,68.0,an introduction to scientific python (and a bit of the maths behind it) – numpy
36,74.0,the 3 kinds of context: machine learning and the art of the frame
37,76.0,"this week in data science (may 2, 2017)"
38,77.0,apache spark @scale: a 60 tb+ production use case
39,78.0,"this week in data science (may 16, 2017)"
40,80.0,leverage scikit-learn models with core ml
41,81.0,transform anything into a vector
42,82.0,build a logistic regression model with wml & dsx
43,87.0,"this week in data science (july 26, 2016)"
44,89.0,top 20 r machine learning and data science packages
